Path,Name,Has Page,Title Len,Title <=65,Answer-First >=40w,Fee (Offer),Eligibility,Duration,Approvals,Curriculum,FAQs,Course schema,CourseInstance,Offer,Image,Main Words
"/schools/rehabilitation-sciences/audiology-speech-sciences/baslp","BASLP","yes","53","yes","yes","NEEDS_INPUT","yes","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1269"
"/schools/rehabilitation-sciences/audiology-speech-sciences/msc-audiology","M.Sc. Audiology","yes","63","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1192"
"/schools/rehabilitation-sciences/audiology-speech-sciences/phd-audiology","Ph.D. Audiology","yes","63","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1198"
"/schools/rehabilitation-sciences/audiology-speech-sciences/mao","M.Sc. in Audiology (MAO)","yes","58","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1219"
"/schools/rehabilitation-sciences/audiology-speech-sciences/phd-speech-hearing","Ph.D. Speech & Hearing","yes","56","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1230"
"/schools/rehabilitation-sciences/prosthetics-orthotics/bpo","BPO","yes","64","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1160"
"/schools/rehabilitation-sciences/prosthetics-orthotics/mpo","MPO","yes","64","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1155"
"/schools/rehabilitation-sciences/inclusive-education/ba-bed-special-inclusive-education","B.A. B.Ed.","yes","58","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1195"
"/schools/rehabilitation-sciences/inclusive-education/bsc-bed-special-inclusive-education","B.Sc. B.Ed.","yes","59","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1195"
"/schools/rehabilitation-sciences/inclusive-education/bcom-bed-special-inclusive-education","B.Com. B.Ed.","yes","60","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1195"
"/schools/rehabilitation-sciences/inclusive-education/phd-inclusive-education","Ph.D. Inclusive Education","yes","59","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1213"
"/schools/rehabilitation-sciences/inclusive-education/phd-special-education","Ph.D. Special Education","yes","57","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1213"
"/schools/health-allied-health-sciences/physiotherapy/bpt","BPT","yes","64","yes","yes","NEEDS_INPUT","yes","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1737"
"/schools/health-allied-health-sciences/physiotherapy/mpt","MPT","yes","64","yes","weak(34w)","NEEDS_INPUT","yes","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1548"
"/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy","Ph.D. Physiotherapy","yes","63","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1509"
"/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy-neurology","Ph.D. Physiotherapy Neurology","yes","63","yes","weak(17w)","NEEDS_INPUT","NEEDS_INPUT","yes","mentioned","yes","yes","yes","yes","NEEDS_INPUT","yes","1518"
